更新时间: 2026-03-19 22:45:35（北京时间）

更新时间,#genre#
2026-03-19 22:45:35,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV17,http://221.232.103.130:8989/rtp/239.69.1.152:10548$湖北电信
CCTV17,http://123.112.210.117:4022/rtp/239.3.1.151:8144$北京市联通
CCTV17,http://220.176.218.207:9000/rtp/239.252.220.192:5140$江西电信
CCTV4K,http://221.232.103.130:8989/rtp/239.69.1.12:9712$湖北电信
CCTV4K,http://123.112.210.117:4022/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://123.112.210.117:4022/rtp/239.3.1.245:2000$北京市联通
CCTV4K,http://220.176.218.207:9000/rtp/239.252.219.60:5140$江西电信
兵器科技,http://221.232.103.130:8989/rtp/239.69.1.79:10114$湖北电信
兵器科技,http://220.176.218.207:9000/rtp/239.252.219.98:5140$江西电信
风云音乐,http://220.176.218.207:9000/rtp/239.252.219.87:5140$江西电信
风云足球,http://221.232.103.130:8989/rtp/239.69.1.81:10126$湖北电信
风云足球,http://220.176.218.207:9000/rtp/239.252.219.96:5140$江西电信
风云剧场,http://220.176.218.207:9000/rtp/239.252.219.89:5140$江西电信
怀旧剧场,http://220.176.218.207:9000/rtp/239.252.219.90:5140$江西电信
第一剧场,http://221.232.103.130:8989/rtp/239.69.1.74:10084$湖北电信
第一剧场,http://220.176.218.207:9000/rtp/239.252.219.86:5140$江西电信
女性时尚,http://220.176.218.207:9000/rtp/239.252.219.94:5140$江西电信
世界地理,http://221.232.103.130:8989/rtp/239.69.1.91:10186$湖北电信
世界地理,http://220.176.218.207:9000/rtp/239.252.219.93:5140$江西电信
央视台球,http://221.232.103.130:8989/rtp/239.69.1.98:10224$湖北电信
央视台球,http://220.176.218.207:9000/rtp/239.252.219.80:5140$江西电信
高尔夫网球,http://221.232.103.130:8989/rtp/239.69.1.83:10138$湖北电信
高尔夫网球,http://220.176.218.207:9000/rtp/239.252.219.95:5140$江西电信
央视文化精品,http://220.176.218.207:9000/rtp/239.252.219.81:5140$江西电信
电视指南,http://220.176.218.207:9000/rtp/239.252.219.97:5140$江西电信

卫视频道,#genre#
湖南卫视,http://113.120.99.171:7002/rtp/239.21.1.158:5002$山东电信
湖南卫视,http://221.232.103.130:8989/rtp/239.254.96.139:8908$湖北电信
湖南卫视,http://123.112.210.117:4022/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://220.176.218.207:9000/rtp/239.252.219.201:5140$江西电信
浙江卫视,http://113.120.99.171:7002/rtp/239.21.1.90:5002$山东电信
浙江卫视,http://221.232.103.130:8989/rtp/239.254.96.143:8932$湖北电信
浙江卫视,http://123.112.210.117:4022/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://220.176.218.207:9000/rtp/239.252.219.210:5140$江西电信
江苏卫视,http://113.120.99.171:7002/rtp/239.21.1.89:5002$山东电信
江苏卫视,http://221.232.103.130:8989/rtp/239.254.96.144:8938$湖北电信
江苏卫视,http://123.112.210.117:4022/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://220.176.218.207:9000/rtp/239.252.219.214:5140$江西电信
东方卫视,http://113.120.99.171:7002/rtp/239.21.1.111:5002$山东电信
东方卫视,http://221.232.103.130:8989/rtp/239.254.96.142:8926$湖北电信
东方卫视,http://123.112.210.117:4022/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://220.176.218.207:9000/rtp/239.252.219.229:5140$江西电信
深圳卫视,http://113.120.99.171:7002/rtp/239.21.1.93:5002$山东电信
深圳卫视,http://221.232.103.130:8989/rtp/239.254.96.137:8896$湖北电信
深圳卫视,http://123.112.210.117:4022/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://220.176.218.207:9000/rtp/239.252.219.212:5140$江西电信
北京卫视,http://113.120.99.171:7002/rtp/239.21.1.88:5002$山东电信
北京卫视,http://221.232.103.130:8989/rtp/239.254.96.141:8920$湖北电信
北京卫视,http://123.112.210.117:4022/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://220.176.218.207:9000/rtp/239.252.219.206:5140$江西电信
广东卫视,http://113.120.99.171:7002/rtp/239.21.1.92:5002$山东电信
广东卫视,http://221.232.103.130:8989/rtp/239.254.96.140:8914$湖北电信
广东卫视,http://123.112.210.117:4022/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://220.176.218.207:9000/rtp/239.252.219.213:5140$江西电信
广西卫视,http://221.232.103.130:8989/rtp/239.69.1.191:10788$湖北电信
广西卫视,http://123.112.210.117:4022/rtp/239.3.1.39:8300$北京市联通
广西卫视,http://220.176.218.207:9000/rtp/239.252.219.183:5140$江西电信
东南卫视,http://113.120.99.171:7002/rtp/239.21.1.113:5002$山东电信
东南卫视,http://221.232.103.130:8989/rtp/239.69.1.108:10286$湖北电信
东南卫视,http://123.112.210.117:4022/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://220.176.218.207:9000/rtp/239.252.220.82:5140$江西电信
海南卫视,http://113.120.99.171:7002/rtp/239.21.2.14:5002$山东电信
海南卫视,http://221.232.103.130:8989/rtp/239.69.1.151:10542$湖北电信
海南卫视,http://123.112.210.117:4022/rtp/239.3.1.45:8304$北京市联通
海南卫视,http://220.176.218.207:9000/rtp/239.252.219.178:5140$江西电信
河北卫视,http://113.120.99.171:7002/rtp/239.21.1.168:5002$山东电信
河北卫视,http://221.232.103.130:8989/rtp/239.254.96.113:9616$湖北电信
河北卫视,http://123.112.210.117:4022/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://220.176.218.207:9000/rtp/239.252.220.154:5140$江西电信
河南卫视,http://113.120.99.171:7002/rtp/239.21.2.37:5002$山东电信
河南卫视,http://221.232.103.130:8989/rtp/239.69.1.168:10644$湖北电信
河南卫视,http://123.112.210.117:4022/rtp/239.3.1.50:8184$北京市联通
河南卫视,http://220.176.218.207:9000/rtp/239.252.220.189:5140$江西电信
湖北卫视,http://113.120.99.171:7002/rtp/239.21.1.163:5002$山东电信
湖北卫视,http://221.232.103.130:8989/rtp/239.254.96.115:8664$湖北电信
湖北卫视,http://123.112.210.117:4022/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://220.176.218.207:9000/rtp/239.252.219.208:5140$江西电信
江西卫视,http://113.120.99.171:7002/rtp/239.21.1.167:5002$山东电信
江西卫视,http://221.232.103.130:8989/rtp/239.69.1.126:10394$湖北电信
江西卫视,http://123.112.210.117:4022/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://220.176.218.207:9000/rtp/239.252.220.63:5140$江西电信
四川卫视,http://113.120.99.171:7002/rtp/239.21.2.15:5002$山东电信
四川卫视,http://221.232.103.130:8989/rtp/239.69.1.169:10650$湖北电信
四川卫视,http://123.112.210.117:4022/rtp/239.3.1.29:8288$北京市联通
四川卫视,http://220.176.218.207:9000/rtp/239.252.220.93:5140$江西电信
重庆卫视,http://113.120.99.171:7002/rtp/239.21.1.233:5002$山东电信
重庆卫视,http://221.232.103.130:8989/rtp/239.69.1.149:10530$湖北电信
重庆卫视,http://123.112.210.117:4022/rtp/239.3.1.122:8160$北京市联通
重庆卫视,http://220.176.218.207:9000/rtp/239.252.220.94:5140$江西电信
贵州卫视,http://113.120.99.171:7002/rtp/239.21.1.166:5002$山东电信
贵州卫视,http://221.232.103.130:8989/rtp/239.69.1.150:10536$湖北电信
贵州卫视,http://123.112.210.117:4022/rtp/239.3.1.149:8076$北京市联通
贵州卫视,http://220.176.218.207:9000/rtp/239.252.220.190:5140$江西电信
云南卫视,http://123.112.210.117:4022/rtp/239.3.1.26:8108$北京市联通
云南卫视,http://220.176.218.207:9000/rtp/239.252.219.185:5140$江西电信
天津卫视,http://113.120.99.171:7002/rtp/239.21.1.165:5002$山东电信
天津卫视,http://221.232.103.130:8989/rtp/239.69.1.68:10048$湖北电信
天津卫视,http://123.112.210.117:4022/rtp/239.3.1.141:1234$北京市联通
天津卫视,http://220.176.218.207:9000/rtp/239.252.220.61:5140$江西电信
安徽卫视,http://113.120.99.171:7002/rtp/239.21.1.159:5002$山东电信
安徽卫视,http://221.232.103.130:8989/rtp/239.69.1.70:10060$湖北电信
安徽卫视,http://123.112.210.117:4022/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://220.176.218.207:9000/rtp/239.252.220.83:5140$江西电信
山东卫视,http://113.120.99.171:7002/rtp/239.21.1.87:5002$山东电信
山东卫视,http://221.232.103.130:8989/rtp/239.69.1.69:10054$湖北电信
山东卫视,http://123.112.210.117:4022/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://220.176.218.207:9000/rtp/239.252.219.228:5140$江西电信
辽宁卫视,http://113.120.99.171:7002/rtp/239.21.1.164:5002$山东电信
辽宁卫视,http://221.232.103.130:8989/rtp/239.69.1.71:10066$湖北电信
辽宁卫视,http://123.112.210.117:4022/rtp/239.3.1.210:8056$北京市联通
辽宁卫视,http://220.176.218.207:9000/rtp/239.252.220.62:5140$江西电信
黑龙江卫视,http://113.120.99.171:7002/rtp/239.21.1.28:5002$山东电信
黑龙江卫视,http://221.232.103.130:8989/rtp/239.254.96.138:8902$湖北电信
黑龙江卫视,http://123.112.210.117:4022/rtp/239.3.1.133:8016$北京市联通
黑龙江卫视,http://220.176.218.207:9000/rtp/239.252.219.211:5140$江西电信
吉林卫视,http://113.120.99.171:7002/rtp/239.21.2.49:5002$山东电信
吉林卫视,http://221.232.103.130:8989/rtp/239.69.1.212:10914$湖北电信
吉林卫视,http://123.112.210.117:4022/rtp/239.3.1.240:8172$北京市联通
吉林卫视,http://220.176.218.207:9000/rtp/239.252.220.188:5140$江西电信
内蒙古卫视,http://123.112.210.117:4022/rtp/239.3.1.43:8176$北京市联通
内蒙古卫视,http://220.176.218.207:9000/rtp/239.252.219.48:5140$江西电信
宁夏卫视,http://123.112.210.117:4022/rtp/239.3.1.169:8212$北京市联通
山西卫视,http://123.112.210.117:4022/rtp/239.3.1.42:8172$北京市联通
山西卫视,http://220.176.218.207:9000/rtp/239.252.219.27:5140$江西电信
陕西卫视,http://123.112.210.117:4022/rtp/239.3.1.41:8140$北京市联通
陕西卫视,http://220.176.218.207:9000/rtp/239.252.219.105:5140$江西电信
甘肃卫视,http://113.120.99.171:7002/rtp/239.21.2.22:5002$山东电信
甘肃卫视,http://123.112.210.117:4022/rtp/239.3.1.201:8180$北京市联通
甘肃卫视,http://220.176.218.207:9000/rtp/239.252.219.140:5140$江西电信
青海卫视,http://113.120.99.171:7002/rtp/239.21.2.51:5002$山东电信
青海卫视,http://123.112.210.117:4022/rtp/239.3.1.44:8184$北京市联通
青海卫视,http://220.176.218.207:9000/rtp/239.252.219.46:5140$江西电信
新疆卫视,http://123.112.210.117:4022/rtp/239.3.1.167:8192$北京市联通
新疆卫视,http://220.176.218.207:9000/rtp/239.252.219.100:5140$江西电信
西藏卫视,http://123.112.210.117:4022/rtp/239.3.1.166:8188$北京市联通
三沙卫视,http://123.112.210.117:4022/rtp/239.3.1.155:4120$北京市联通
三沙卫视,http://220.176.218.207:9000/rtp/239.252.219.76:5140$江西电信
兵团卫视,http://123.112.210.117:4022/rtp/239.3.1.168:8196$北京市联通
兵团卫视,http://220.176.218.207:9000/rtp/239.252.219.107:5140$江西电信
山东教育卫视,http://123.112.210.117:4022/rtp/239.3.1.52:4120$北京市联通
山东教育卫视,http://220.176.218.207:9000/rtp/239.252.219.74:5140$江西电信
中国教育1台,http://113.120.99.171:7002/rtp/239.21.2.7:5002$山东电信
中国教育1台,http://221.232.103.130:8989/rtp/239.69.1.110:10298$湖北电信
中国教育1台,http://123.112.210.117:4022/rtp/239.3.1.57:8152$北京市联通
中国教育1台,http://220.176.218.207:9000/rtp/239.252.220.198:5140$江西电信
中国教育2台,http://123.112.210.117:4022/rtp/239.3.1.54:4120$北京市联通
中国教育2台,http://220.176.218.207:9000/rtp/239.252.219.73:5140$江西电信
中国教育3台,http://123.112.210.117:4022/rtp/239.3.1.55:4120$北京市联通
中国教育4台,http://123.112.210.117:4022/rtp/239.3.1.56:4120$北京市联通
中国教育4台,http://220.176.218.207:9000/rtp/239.252.219.169:5140$江西电信

数字频道,#genre#
CHC动作电影,http://113.120.99.171:7002/rtp/239.21.2.128:5002$山东电信
CHC动作电影,http://221.232.103.130:8989/rtp/239.69.1.242:11094$湖北电信
CHC动作电影,http://220.176.218.207:9000/rtp/239.252.219.85:5140$江西电信
CHC家庭影院,http://113.120.99.171:7002/rtp/239.21.2.126:5002$山东电信
CHC家庭影院,http://221.232.103.130:8989/rtp/239.69.1.243:11100$湖北电信
CHC家庭影院,http://220.176.218.207:9000/rtp/239.252.219.84:5140$江西电信
CHC影迷电影,http://113.120.99.171:7002/rtp/239.21.2.127:5002$山东电信
CHC影迷电影,http://221.232.103.130:8989/rtp/239.69.1.241:11088$湖北电信
CHC影迷电影,http://220.176.218.207:9000/rtp/239.252.219.83:5140$江西电信
淘电影,http://123.112.210.117:4022/rtp/239.3.1.250:8001$北京市联通
淘精彩,http://123.112.210.117:4022/rtp/239.3.1.178:8001$北京市联通
淘剧场,http://123.112.210.117:4022/rtp/239.3.1.95:8001$北京市联通
淘娱乐,http://123.112.210.117:4022/rtp/239.3.1.100:8001$北京市联通
凤凰卫视中文台,http://113.120.99.171:7002/rtp/239.21.2.153:5002$山东电信
凤凰卫视资讯台,http://113.120.99.171:7002/rtp/239.21.2.163:5002$山东电信
凤凰卫视香港台,http://113.120.99.171:7002/rtp/239.21.2.164:5002$山东电信
求索纪录,http://113.120.99.171:7002/rtp/239.21.2.159:5002$山东电信
